IP,Type, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
61.170.79.223,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,12,1717,6,1091,6,626
61.170.79.224,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,13,1772,6,1092,7,680
61.170.79.225,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,21,3259,9,2007,12,1252
61.170.79.226,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,22,3327,10,2075,12,1252
61.170.79.227,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,21,3259,9,2007,12,1252
61.170.80.226,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,33,4936,14,3004,19,1932
61.170.80.227,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,33,4964,15,3086,18,1878
61.170.80.228,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,31,4841,13,2963,18,1878
61.170.80.229,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,12,1698,5,1018,7,680
61.170.80.230,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,12,1697,5,1017,7,680
61.170.80.232,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,11,1656,5,1030,6,626
61.170.81.233,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,31,4839,13,2961,18,1878
61.170.81.234,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,23,3384,9,1992,14,1392
61.170.81.237,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,31,4835,13,2957,18,1878
61.170.81.238,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,11,1642,5,1016,6,626
61.170.81.239,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,22,3313,10,2061,12,1252
61.170.81.240,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,24,3418,11,2112,13,1306
81.71.100.200,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,33,2811,10,869,23,1942
81.71.98.57,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,84,7142,32,2730,52,4412
