IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
52.217.112.56,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17176,18,7554,25,9622
52.217.114.16,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17237,17,7500,25,9737
52.217.115.80,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17230,17,7500,26,9730
52.217.120.160,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17922,18,7554,24,10368
52.217.121.104,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,45,17381,20,7662,25,9719
52.217.122.152,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17362,17,7500,25,9862
52.217.125.104,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,44,18028,18,7554,26,10474
52.217.129.168,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17000,18,7554,25,9446
52.217.134.232,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,17281,16,7446,25,9835
52.217.134.24,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17573,17,7500,25,10073
52.217.135.80,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,16935,16,7446,25,9489
52.217.136.160,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,40,17148,15,7392,25,9756
52.217.14.190,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17454,18,7554,25,9900
52.217.140.144,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,45,19580,18,7554,27,12026
52.217.142.136,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,18126,17,7500,26,10626
