IP,Type, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
2603:1036:302:505d::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,31,12999,20,8430,11,4569
2603:1036:302:505e::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,145,103793,79,60599,66,43194
2603:1036:302:505f::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,61,26424,40,17360,21,9064
2603:1036:302:5061::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,36,13150,22,8677,14,4473
2603:1036:302:5062::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,49,19418,28,12581,21,6837
2603:1036:302:834::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,56,29739,31,18489,25,11250
2603:1036:302:840::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,30,13188,20,8693,10,4495
2603:1036:302:854::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,29,13116,19,8621,10,4495
2603:1036:302:860::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,61,34153,33,20377,28,13776
2603:1036:302:874::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,312,150737,209,81975,103,68762
2603:1036:303:3802::2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,32,13336,19,8619,13,4717
2603:1037:1:130::80,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,18,8693,8,5735,10,2958
2606:2800:11f:85d:13e0:11e9:1a6:201d,Support,None,None,None,None,"EDGECAST, US",US,None,None,None,None,264,65177,112,43422,152,21755
2607:f4e8:310:a000::1,Support,None,None,None,None,"LLNW, US",US,None,None,None,None,918,814318,587,783086,331,31232
2607:f4e8:310:a000::8000,Support,None,None,None,None,"LLNW, US",US,None,None,None,None,133,20935,64,10585,69,10350
2607:f4e8:d:a200::8000,Support,None,None,None,None,"LLNW, US",US,None,None,None,None,14,2101,7,1037,7,1064
2a01:111:f100:4002::9d37:c1c2,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",GB,None,None,None,None,19,8224,9,5690,10,2534
2a01:111:f100:9001::1761:914d,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",GB,None,None,None,None,157,93414,72,23646,85,69768
