IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
23.21.145.114,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,1363,1039986,567,104990,796,934996
23.21.206.89,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,1022,606506,407,82110,615,524396
3.162.107.67,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,12630,4980509,5109,3989282,7521,991227
3.162.122.67,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,15960,6022517,6583,4774821,9377,1247696
3.162.130.150,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,1734,233286,867,143713,867,89573
3.162.130.154,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,1762,237188,881,146130,881,91058
3.162.130.209,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,1630,219551,815,135280,815,84271
3.162.130.91,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,1660,223594,830,137772,830,85822
3.162.152.67,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,40,12166,18,8997,22,3169
3.162.159.115,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,20,2696,10,1662,10,1034
3.162.159.2,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,10,1348,5,831,5,517
3.162.93.101,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,90,12123,45,7470,45,4653
3.162.93.102,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,132,17642,66,10855,66,6787
3.162.93.159,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,100,13470,50,8300,50,5170
3.162.93.201,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,130,17511,65,10790,65,6721
3.162.93.51,"None","None","None","None","AMAZON-02, US","US",d2ouawjonid8rv.cloudfront.net,d2ouawjonid8rv.cloudfront.net,None,None,67,67884,19,63711,48,4173
3.208.249.246,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,643,451892,287,61966,356,389926
