IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
2607:f8b0:4004:c17::71,"None","None","None","None","GOOGLE, US","US",None,None,None,None,68,25518,30,19318,38,6200
2607:f8b0:4004:c17::88,"None","None","None","None","GOOGLE, US","US",None,None,None,None,3979,498709,2019,213540,1960,285169
2607:f8b0:4004:c17::8a,"None","None","None","None","GOOGLE, US","US",None,None,None,None,335,127208,143,96012,192,31196
2607:f8b0:4004:c17::8b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,236,89148,102,67350,134,21798
2607:f8b0:4004:c17::94,"None","None","None","None","GOOGLE, US","US",None,None,None,None,176,50402,79,35820,97,14582
2607:f8b0:4004:c17::95,"None","None","None","None","GOOGLE, US","US",None,None,None,None,66,19769,29,14091,37,5678
2607:f8b0:4004:c17::bc,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4866,575636,2401,347665,2465,227971
2607:f8b0:4004:c17::be,"None","None","None","None","GOOGLE, US","US",None,None,None,None,5189,634556,2628,275900,2561,358656
2607:f8b0:4004:c19::5d,"None","None","None","None","GOOGLE, US","US",None,None,None,None,1394,173333,704,74172,690,99161
2607:f8b0:4004:c19::5f,"None","None","None","None","GOOGLE, US","US",None,None,None,None,1358,477121,599,251370,759,225751
2607:f8b0:4004:c19::64,"None","None","None","None","GOOGLE, US","US",None,None,None,None,390,152149,174,43689,216,108460
2607:f8b0:4004:c19::65,"None","None","None","None","GOOGLE, US","US",None,None,None,None,707,628765,501,566421,206,62344
2607:f8b0:4004:c19::66,"None","None","None","None","GOOGLE, US","US",None,None,None,None,421,144736,192,48021,229,96715
2607:f8b0:4004:c19::71,"None","None","None","None","GOOGLE, US","US",None,None,None,None,899,694363,383,577850,516,116513
2607:f8b0:4004:c19::88,"None","None","None","None","GOOGLE, US","US",None,None,None,None,6787,851325,3439,363533,3348,487792
2607:f8b0:4004:c19::8a,"None","None","None","None","GOOGLE, US","US",None,None,None,None,797,657551,530,576186,267,81365
2607:f8b0:4004:c19::8b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,362,134766,167,49532,195,85234
2607:f8b0:4004:c19::bc,"None","None","None","None","GOOGLE, US","US",None,None,None,None,19068,1834119,9493,986160,9575,847959
2607:f8b0:4004:c19::be,"None","None","None","None","GOOGLE, US","US",None,None,None,None,3184,404387,1616,171712,1568,232675
2607:f8b0:4004:c1b::5b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,3093,390429,1569,167191,1524,223238
2607:f8b0:4004:c1b::5d,"None","None","None","None","GOOGLE, US","US",None,None,None,None,2633,328732,1337,141983,1296,186749
2607:f8b0:4004:c1b::5e,"None","None","None","None","GOOGLE, US","US",None,None,None,None,2040,485197,688,150757,1352,334440
2607:f8b0:4004:c1b::5f,"None","None","None","None","GOOGLE, US","US",None,None,None,None,1651,667977,747,301387,904,366590
2607:f8b0:4004:c1b::65,"None","None","None","None","GOOGLE, US","US",None,None,None,None,69,25644,30,19346,39,6298
2607:f8b0:4004:c1b::66,"None","None","None","None","GOOGLE, US","US",None,None,None,None,34,12770,15,9658,19,3112
2607:f8b0:4004:c1b::71,"None","None","None","None","GOOGLE, US","US",None,None,None,None,69,25601,31,19401,38,6200
2607:f8b0:4004:c1b::88,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4025,2450091,2379,2211100,1646,238991
2607:f8b0:4004:c1b::8a,"None","None","None","None","GOOGLE, US","US",None,None,None,None,597,592895,439,563923,158,28972
2607:f8b0:4004:c1b::8b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,102,38306,44,28920,58,9386
2607:f8b0:4004:c1b::bc,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4600,459402,2270,252160,2330,207242
2607:f8b0:4004:c1b::be,"None","None","None","None","GOOGLE, US","US",None,None,None,None,3401,1396858,1900,1178162,1501,218696
2607:f8b0:4004:c1d::5b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,3040,386302,1542,165355,1498,220947
2607:f8b0:4004:c1d::5d,"None","None","None","None","GOOGLE, US","US",None,None,None,None,2124,259281,1079,112993,1045,146288
2607:f8b0:4004:c1d::5f,"None","None","None","None","GOOGLE, US","US",None,None,None,None,763,267004,337,149061,426,117943
2607:f8b0:4004:c1d::64,"None","None","None","None","GOOGLE, US","US",None,None,None,None,1588,941257,901,678526,687,262731
2607:f8b0:4004:c1d::65,"None","None","None","None","GOOGLE, US","US",None,None,None,None,846,303838,387,98802,459,205036
2607:f8b0:4004:c1d::66,"None","None","None","None","GOOGLE, US","US",None,None,None,None,1990,1133387,1092,721620,898,411767
2607:f8b0:4004:c1d::71,"None","None","None","None","GOOGLE, US","US",None,None,None,None,2610,2082780,1717,1782303,893,300477
2607:f8b0:4004:c1d::88,"None","None","None","None","GOOGLE, US","US",None,None,None,None,2336,293063,1181,126513,1155,166550
