File, Layer,Classification,Notes, Proto, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes,LanPackets,LanBytes,LanTxPackets,LanTxBytes,LanRxPackets,LanRxBytes,WanPackets,WanBytes,WanTxPackets,WanTxBytes,WanRxPackets,WanRxBytes,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 4,,,tcp,326630,117202722,184506,59763832,142124,57438890,159741,39924818,93085,26159659,66656,13765159,166889,77277904,91421,33604173,75468,43673731,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 4,,,udp,1024016,57378607,516047,31354438,507969,26024169,1023996,57376807,516037,31353538,507959,26023269,20,1800,10,900,10,900,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 5,,,tls,137880,59556926,51607,29327558,86273,30229368,85045,34384081,29623,21937994,55422,12446087,52835,25172845,21984,7389564,30851,17783281,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 7,,,http,17635,1488903,8834,788409,8801,700494,9004,626366,4519,341756,4485,284610,8631,862537,4315,446653,4316,415884,"connectivity and captive portal checks, requests SSDP device desc from Sony TV (only model name), gets ssdp unpn data such as service lists and control addresses, requests meta.json from external (denied)",,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 7,,,tplink-smarthome,1828,710164,885,73635,943,636529,1828,710164,885,73635,943,636529,0,0,0,0,0,0,"Requests information from tp link devices via broadcast and TCP, recv over UDP/TCP",,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 7,,,ssdp,3618,1357563,3618,1357563,0,0,3618,1357563,3618,1357563,0,0,0,0,0,0,0,0,UPnP,,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 7,,,mdns,5570,585608,5570,585608,0,0,5570,585608,5570,585608,0,0,0,0,0,0,0,0,Responds with type and name,,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 7,,,ntp,20,1800,10,900,10,900,0,0,0,0,0,0,20,1800,10,900,10,900,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 7,,,55444,1012860,54694432,506429,29372882,506431,25321550,1012860,54694432,506429,29372882,506431,25321550,0,0,0,0,0,0,"Echo dot communication, most likely time sync",,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 7,,,50000,1470,532560,210,29295,1260,503265,1470,532560,210,29295,1260,503265,0,0,0,0,0,0,Recv UPnP,,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 7,,,56700,105,8190,105,8190,0,0,105,8190,105,8190,0,0,0,0,0,0,0,0,"Broadcast, probably lifx, https://lan.developer.lifx.com/docs/querying-the-device-for-data#getservice---packet-2",,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 7,,,1982,105,14385,105,14385,0,0,105,14385,105,14385,0,0,0,0,0,0,0,0,Query SSDP (wifi bulb),,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 7,,,55443,143143,38222661,84061,25532838,59082,12689823,143143,38222661,84061,25532838,59082,12689823,143143,38222661,0,0,0,0,"Encrypted comms between echo dot, cert says alexa",,,,,,,,,,,,,,,,,,,,,,,,,
EchoShow5,Layer 7,,,https,158258,76415367,87106,33157520,71152,43257847,0,0,0,0,0,0,158258,76415367,87106,33157520,71152,43257847,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoogleHome,Total,,,Total,1126132,124707478,609781,67748327,516351,56959151,1003246,94438505,541839,52147256,461407,42291249,122886,30268973,67942,15601071,54944,14667902,,,,,,,,,,,,,,,,,,,,,,,,,,
GoogleHome,Layer 3,,,ip,1090351,116136993,574000,59177842,516351,56959151,967465,85868020,506058,43576771,461407,42291249,122886,30268973,67942,15601071,54944,14667902,,,,,,,,,,,,,,,,,,,,,,,,,,
GoogleHome,Layer 3,,,ipv6,35781,8570485,35781,8570485,0,0,35781,8570485,35781,8570485,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
GoogleHome,Layer 4,,,tcp,394381,60142411,202791,29969355,191590,30173056,272432,30432998,135500,14902104,136932,15530894,121949,29709413,67291,15067251,54658,14642162,,,,,,,,,,,,,,,,,,,,,,,,,,
GoogleHome,Layer 4,,,udp,731751,64565067,406990,37778972,324761,26786095,730814,64005507,406339,37245152,324475,26760355,937,559560,651,533820,286,25740,,,,,,,,,,,,,,,,,,,,,,,,,,
GoogleHome,Layer 5,,,tls,146059,34081266,71838,15035915,74221,19045351,114756,19965077,57642,9728185,57114,10236892,31303,14116189,14196,5307730,17107,8808459,,,,,,,,,,,,,,,,,,,,,,,,,,
GoogleHome,Layer 7,,,http,23578,3815576,14206,2567885,9372,1247691,0,0,0,0,0,0,23578,3815576,14206,2567885,9372,1247691,Used for connectivity checks,,,,,,,,,,,,,,,,,,,,,,,,,
GoogleHome,Layer 7,,,tplink-smarthome,12714,7469234,4254,302034,8460,7167200,12714,7469234,4254,302034,8460,7167200,0,0,0,0,0,0,Requests information from tp link devices via broadcast,,,,,,,,,,,,,,,,,,,,,,,,,
GoogleHome,Layer 7,,,mdns,71580,16180295,71580,16180295,0,0,71580,16180295,71580,16180295,0,0,0,0,0,0,0,0,Responds with type and name,,,,,,,,,,,,,,,,,,,,,,,,,
GoogleHome,Layer 7,,,ntp,572,51480,286,25740,286,25740,0,0,0,0,0,0,572,51480,286,25740,286,25740,,,,,,,,,,,,,,,,,,,,,,,,,,
GoogleHome,Layer 7,,,10006,397361,24636382,197938,12272156,199423,12364226,397361,24636382,197938,12272156,199423,12364226,0,0,0,0,0,0,"Exchanging STUN with google home speaker and nest mini, nothing is responding, mistmatched protocols? LAN, no servers",,,,,,,,,,,,,,,,,,,,,,,,,
GoogleHome,Layer 7,,,10001,231552,14356224,114969,7128078,116583,7228146,231552,14356224,114969,7128078,116583,7228146,0,0,0,0,0,0,"Exchanging STUN with google home speaker and nest mini, nothing is responding, mistmatched protocols? LAN, no servers",,,,,,,,,,,,,,,,,,,,,,,,,
